Category	despansing unit 	Product Name	Generic / Active Ingredient
Antibiotics & Antimicrobials	strip	Acetazolamide 250mg  	Acetazolamide
	pk	Amoklavin  1gm 	Amoxicillin + Clavulanic Acid
	bottle 	Amoklavin BID 228mg/5ml 	Amoxicillin + Clavulanic Acid
	bottle 	Amoklavin  BID 457mg/5ml 	Amoxicillin + Clavulanic Acid
	sachet	AmoxiClav-Denk 1000/125mg	Amoxicillin + Clavulanic Acid
	strip	Amoxid  500mg 	Amoxicillin
	strip	Amoxi-Denk 500mg  	Amoxicillin
	strip	Amoxapen  500mg 	Amoxicillin
	strip	Ampi-500 500mg 	Ampicillin
	ampoule	Ampicillin  500mg IM/IV Inj of 50 Vials	Ampicillin Sodium
	strip	Amucap 500mg 	Amoxicillin
	bottle 	Azileb  200mg/5ml, 30ml	Azithromycin
	pk	Azitro  250mg 	Azithromycin
	pk	Azitro  500mg 	Azithromycin
	bottle 	Azopil  200mg/5ml, 30ml Oral Suspn	Azithromycin
	tube	Bacitracin-N Ointment	Bacitracin + Polymyxin B + Neomycin
	ampoule	Benzathine Benzylpenicillin Inj 2.4M IU of 10 Vial	Benzathine Benzylpenicillin
	bottle 	Brufex  125mg/5ml, 100ml Oral Suspn	Cefalexin
	strip	Cachmax  400mg  Tab	Cefixime
	pk	Cefaks   500mg Tab	Cefuroxime Axetil
	pk	Cefdia  400mg of 5 Tab	Cefixime
	bottle 	Cefix  100mg/5ml,60ml Suspn	Cefixime
	pk	Cefodox  100mg  	Cefpodoxime
	pk	Cefodox  200mg 	Cefpodoxime
	pk	Ciflosin  500mg 	Ciprofloxacin
	tube	Ciprocon  0.3%, 10ml Eye Drop	Ciprofloxacin
	pk	Cipro-Denk  500mg Tab	Ciprofloxacin
	ampoule	Ciprogyl  200mg/100ml IV Inj	Ciprofloxacin
	strip	Ciprofloxacin  500mg  	Ciprofloxacin
	pk	Cipropharm  500mg  	Ciprofloxacin
	strip	Cipropharm  500mg  	Ciprofloxacin
	pk	Cipro-Vir  500mg 	Ciprofloxacin
	pk	Cipro-Vir  500mg  	Ciprofloxacin
	pk	Claricide  500mg  	Clarithromycin
	strip	Clariscot  500mg  	Clarithromycin
	pk	Clarix  500mg  	Clarithromycin
	pk	Clavomid   625mg  	Amoxicillin + Clavulanic Acid
	pk	Cledomox  625mg  	Amoxicillin + Clavulanic Acid
	pk	Cledomox  1000mg of  	Amoxicillin + Clavulanic Acid
	bottle 	Cledomox  312.5mg/5ml, 100ml Oral Suspn	Amoxicillin + Clavulanic Acid
	ampoule	Clidacin  600mg/4ml Inj of 1 Amp	Clindamycin
	strip	Cloxacillin 500mg Tab (Epharm)	Cloxacillin
	strip	Cloxavid  250mg  Caps	Cloxacillin Sodium
	bottle 	Cloxavid  250mg/5ml, 100ml Oral Suspn	Cloxacillin Sodium
	strip	Cloxavid  500mg 	Cloxacillin Sodium
	strip	Cotrox  480mg 	Sulfamethoxazole + Trimethoprim
	pk	Curam   1gm of 14 Tab	Amoxicillin + Clavulanic Acid
	pk	Curam   625mg of 14 Tab	Amoxicillin + Clavulanic Acid
	bottle 	Curam   156.25mg/5ml,100ml Susp	Amoxicillin + Clavulanic Acid
	bottle 	Curam  228.5mg/5ml,100 ml Susp	Amoxicillin + Clavulanic Acid
	bottle 	Curam  457/5ml,100 ml Susp	Amoxicillin + Clavulanic Acid
	pk	Deklarit  500mg 	Clarithromycin
	ampoule	Desefin  1gm IM Inj	Ceftriaxone
	strip	Doxy-Denk  100mg 	Doxycycline
	strip	Doxylag   100mg 	Doxycycline
	strip	Doxyleb  100mg 	Doxycycline
	strip	Doxyzim  100mg 	Doxycycline
